Image,Type,PSNR_Full,SSIM_Full,PSNR_Tumor,SSIM_Tumor,PSNR_Background,SSIM_Background,Time,Method
benign_8,benign,19.140247895637003,0.4170754354463717,15.360737309230446,0.9945292185244852,19.209618898270342,0.4380435326138846,1.166632890701294,TV-only
benign_8,benign,15.75557581222885,0.15703895678614316,15.9282244290616,0.3512650798588586,15.753703912848538,0.15703895678614316,12.304914236068726,Wavelet-only
benign_9,benign,19.679291059874625,0.3816893223986716,20.48687007100787,0.9103865948871874,19.588440409803983,0.4669195851015337,34.743963956832886,Adaptive-HASA
benign_9,benign,20.595502319928038,0.40731112851509815,19.61236659081619,0.30085060834818894,20.735086252243008,0.40731112851509815,13.040113687515259,Static-HASA
benign_9,benign,15.911550412790794,0.2743878795731389,13.61303474279266,0.8780431447878267,16.30643646954879,0.401466659102955,1.0979268550872805,TV-only
benign_9,benign,19.708592905844906,0.22324960634237806,20.452319667996587,0.21411833911599276,19.624314825989273,0.22324960634237806,12.49228024482727,Wavelet-only
malignant_1,malignant,18.674435913773262,0.3722980764620077,21.076381692758048,0.829211298356507,17.82057225591458,0.6047492806249306,35.19828248023987,Adaptive-HASA
malignant_1,malignant,20.95485282936592,0.39923984333873375,21.98448649395332,0.46161791029038474,20.50849214025222,0.39923984333873375,11.916065454483032,Static-HASA
malignant_1,malignant,17.064033727936064,0.3180230285684263,18.641637434216484,0.8109408967409962,16.435280826968445,0.5814132404916192,1.0135786533355713,TV-only
malignant_1,malignant,14.212341914393708,0.12712680749855448,14.805191194335073,0.13599074431821176,13.937058817045571,0.12712680749855448,10.718562602996826,Wavelet-only
malignant_10,malignant,18.1570405605042,0.2616295692033908,17.499547126427053,0.9797350052851068,18.179073299063173,0.3025244662785839,35.184914112091064,Adaptive-HASA
malignant_10,malignant,18.597746073236962,0.3160507198674034,16.12186001139132,0.1922901280088791,18.70308953732559,0.3160507198674034,12.151198625564575,Static-HASA
malignant_10,malignant,17.366726180639414,0.2228967920128829,15.61717432939752,0.9789196666089524,17.433943348396532,0.2683712412263599,1.2585363388061523,TV-only
malignant_10,malignant,16.930572113553794,0.2352483608536905,16.50600683190272,0.2581240570517342,16.94450377217554,0.2352483608536905,11.260387897491455,Wavelet-only
malignant_11,malignant,18.742486414765697,0.2389940474879154,19.744249901766256,0.9676126709554012,18.683495870657342,0.3102003012679963,39.00418066978455,Adaptive-HASA
malignant_11,malignant,19.119097461023504,0.31853869293819775,19.250515648497117,0.35100761000831565,19.110498468174175,0.31853869293819775,13.381245613098145,Static-HASA
malignant_11,malignant,18.366782260137946,0.2101192323914952,19.17532343262844,0.967345091877181,18.31807872061561,0.2844804624658324,1.3067305088043213,TV-only
malignant_11,malignant,17.914520119729506,0.2589559431537771,17.698869471197117,0.2966531229071075,17.92924631294366,0.2589559431537771,15.130488395690918,Wavelet-only
